l_spanish:

 court_position_strategist_trait:0 "[GetTrait('strategist').GetName( ROOT.Char )]"
 court_position_wrathful_trait:0 "[GetTrait('wrathful').GetName( ROOT.Char )]"
 court_position_schemer_trait:0 "[GetTrait('schemer').GetName( ROOT.Char )]"
 court_position_arrogant_trait:0 "[GetTrait('arrogant').GetName( ROOT.Char )]"
 court_position_diligent_trait:0 "[GetTrait('diligent').GetName( ROOT.Char )]"
 title_held_kingdom:0 "Holding a Kingdom title"
 title_held_duchy:0 "Holding a Duchy title"
 court_position_ambitious_trait:0 "[GetTrait('ambitious').GetName( ROOT.Char )]"
 court_position_zealous_trait:0 "[GetTrait('zealous').GetName( ROOT.Char )]"
 court_position_vengeful_trait:0 "[GetTrait('vengeful').GetName( ROOT.Char )]"
 court_position_yin_imbalanced_trait:0 "[GetTrait('yin_imbalanced').GetName( ROOT.Char )]"
 court_position_yang_imbalanced_trait:0 "[GetTrait('yang_imbalanced').GetName( ROOT.Char )]"
 court_position_possessed_trait:0 "[GetTrait('possessed_1').GetName( ROOT.Char )]"
 court_position_lunatic_trait:0 "[GetTrait('lunatic_1').GetName( ROOT.Char )]"
 court_position_possessed_lunatic_trait:0 "[GetTrait('possessed_1').GetName( ROOT.Char )] [GetTrait('lunatic_1').GetName( ROOT.Char )]"
 court_position_auspex_trait:0 "[GetTrait('auspex').GetName( ROOT.Char )]"
 court_position_auspexadvanced_trait:0 "[GetTrait('auspexadvanced').GetName( ROOT.Char )]"
 court_position_malkavian:0 "Malkavian"
 
 brujah_primogen_court_position:0 "Brujah Primogen"
 brujah_primogen_court_position_desc:1 "The $brujah_primogen_court_position$ is traditionally responsible for strategical warfare in a domain, though they might also dabble in scholarship at times, staying true to their moniker of the Warriors Scholars."
 cappadocian_primogen_court_position:0 "Cappadocian Primogen"
 cappadocian_primogen_court_position_desc:1 "Few know as much as the Cappadocian about the Undead condition. A lot can be learned from them, if they are willing to talk."
 lasombra_primogen_court_position:0 "Lasombra Primogen"
 lasombra_primogen_court_position_desc:1 "The Masters of Shadows are an useful ally to have on your side, but a much deadlier enemy if crossed."
 toreador_primogen_court_position:0 "Toreador Primogen"
 toreador_primogen_court_position_desc:1 "Every self respecting court has a talented Toreador to handle its gatherings. The definition of 'talented' might be controversial at times though."
 tzimisce_primogen_court_position:0 "Tzimisce Primogen"
 tzimisce_primogen_court_position_desc:1 "When a guest isn't welcome any longer but you still need them to answer a few questions... you know who to call."
 ventrue_primogen_court_position:0 "Ventrue Primogen"
 ventrue_primogen_court_position_desc:1 "The so called rulers of the night expect a great deal of power and responsibilities bestowed upon them, even when they aren't deserving of it."
 assamite_primogen_court_position:0 "Banu Haqim Primogen"
 assamite_primogen_court_position_desc:1 "The Children of Haqim are dutiful, and an example of discipline towards a common cause. Most of the time."
 gangrel_primogen_court_position:0 "Gangrel Primogen"
 gangrel_primogen_court_position_desc:1 "A Gangrel is never far away from their pack, ready to help or hinder on their behalf."
 malkavian_primogen_court_position:0 "Malkavian Primogen"
 malkavian_primogen_court_position_desc:1 "The seers don't control the omens, but perhaps it is best to have them on your side still."
 nosferatu_primogen_court_position:0 "Nosferatu Primogen"
 nosferatu_primogen_court_position_desc:1 "Having the Nosferatu favors you is always a good idea. The difficulty lies in truly making sure that they are on your side..."
 ravnos_primogen_court_position:0 "Ravnos Primogen"
 ravnos_primogen_court_position_desc:1 "A divided and feuding family is still a family all the same."
 setite_primogen_court_position:0 "Setite Primogen"
 setite_primogen_court_position_desc:1 "The Clan of Faith can spiritually guide you, but perhaps not to the ending you wished for."
 tremere_primogen_court_position:0 "Tremere Primogen"
 tremere_primogen_court_position_desc:1 "The Usurpers bring gifts aplenty, and curses even more."
 salubri_primogen_court_position:0 "Salubri Primogen"
 salubri_primogen_court_position_desc:1 "The Shepherds of humanity are dying, but their duty remains."

 POD_primogens.0001.t:0 "Primogen Mechanics"
 POD_primogens.0001.desc:1 "As you are of a Kingdom (or above) level as a ruler, you now have access to the Primogen minor court positions.\nThese positions represent the expectation of each [Clan|E] in your area to have a representative close to you. Each [Clan|E] values a different set of skills as you can see in their aptitude scores but all of them expect to be represented.\nIf you choose to not appoint someone (because you can't afford their salary, or because they are needed elsewhere, or simply because you don't have anyone suitable yet), you can expect this specific [Clan|E] to protest in the coming years, giving you a notable opinion malus with each member of that [Clan|E] in your realm."
 POD_primogens.0001.a:0 "Understood"
 primogen_explanation_tt:0 "You have a three years grace period until your realm expect those positions to be filled."

 lack_primogen_opinion:1 "Feels Marginalized"

 POD_primogens.0003.t:0 "Mood of the Clans"
 POD_primogens.0003.desc:1 "As a powerful ruler of the night, you are constantly judged by the various [Clan|E]s of the undead society. Those that you haven't favored with a Primogen seat are considered marginalized in your court, perhaps because of their political insignificance in your realm, or simply because of your current fancy.\nIn any case, you can now feel the mood of the Clans towards your rule shifting again."
 POD_primogens.0003.a:0 "What do they truly think?"
 lack_brujah_primogen_tt:0 "The Brujah feel marginalized."
 lack_cappadocian_primogen_tt:0 "The Cappadocian feel marginalized."
 lack_lasombra_primogen_tt:0 "The Lasombra feel marginalized."
 lack_toreador_primogen_tt:0 "The Toreador feel marginalized."
 lack_tzimisce_primogen_tt:0 "The Tzimisce feel marginalized."
 lack_ventrue_primogen_tt:0 "The Ventrue feel marginalized."
 lack_assamite_primogen_tt:0 "The Banu Haqim feel marginalized."
 lack_malkavian_primogen_tt:0 "The Malkavian feel marginalized."
 lack_nosferatu_primogen_tt:0 "The Nosferatu feel marginalized."
 lack_ravnos_primogen_tt:0 "The Ravnos feel marginalized."
 lack_setite_primogen_tt:0 "The Setite feel marginalized."
 lack_salubri_primogen_tt:0 "The Salubri feel marginalized."
 lack_tremere_primogen_tt:0 "The Tremere feel marginalized."
 lack_gangrel_primogen_tt:0 "The Gangrel feel marginalized."

 aphrodisiac_celebrant_court_position:0 "Aphrodisiac Celebrant"
 aphrodisiac_celebrant_court_position_desc:1 "A position hotly contested with social politicking, the Aphrodisiac Celebrant has the honor of presiding the Aphrodisiac, where Sinners celebrate the coming the Spring with a very vibrant, and decadent, festival."

 lord_of_misrule_court_position:0 "Lord of Misrule"
 lord_of_misrule_court_position_desc:1 "Elected during the Saturnalia, the Lord of Misrule has complete immunity and uses it to mock and belittle all the established Cainite authorities in the area."

 hidden_minister_of_jade_court_position:0 "Hidden Minister of Jade"
 hidden_minister_of_jade_court_position_desc:0 "The Hidden Minister of Jade collects and dispenses funds for the court, whether as traditional mortal currency or as jade."
 hidden_minister_of_rites_court_position:0 "Hidden Minister of Rites"
 hidden_minister_of_rites_court_position_desc:0 "The Hidden Minister of Rites oversees a broad range of activities, including ensuring the just and fair execution of local shadow wars. The position also safeguards the region’s feng shui and overall vitality of Dragon Nests and lines."
 hidden_minister_of_shen_court_position:0 "Hidden Minister of Shen"
 hidden_minister_of_shen_court_position_desc:0 "The Hidden Minister of Shen is a diplomatic post with a dual purpose. This position’s public mandate is maintaining relations with regional shen. This position’s private mandate, however, is advising the August Ancestor of exploitable weaknesses in rival shen."
 hidden_minister_of_war_court_position:0 "Hidden Minister of War"
 hidden_minister_of_war_court_position_desc:0 "When all else fails and open conflict is inevitable, the Hidden Minister of War is often the general directing regional Wan-Kuei forces against the enemy."
 hidden_minister_of_the_garden_court_position:0 "Hidden Minister of the Garden"
 hidden_minister_of_the_garden_court_position_desc:0 "The Hidden Minister of the Garden tends to regional mortal affairs, safeguarding “the proper and virtuous well-being of the populace.”"
 hidden_minister_of_hushed_lanterns_court_position:0 "Hidden Minister of Hushed Lanterns"
 hidden_minister_of_hushed_lanterns_court_position_desc:0 "The Hidden Minister of Hushed Lanterns is a troubleshooter of sorts, handling “unpleasant problems” and embarrassing situations the August Ancestor or Ministers don’t want to handle directly."
 minister_of_jade_court_position:0 "Minister of Jade"
 minister_of_jade_court_position_desc:0 "The Minister of Jade deals with the local treasury, and is responsible for collecting regional taxes and tributes to the Hidden Minister above her."
 minister_of_rites_court_position:0 "Minister of Rites"
 minister_of_rites_court_position_desc:0 "The Minister of Rites supervises local shadow wars and helps determine the conflict’s victor if there is no city ancestor to handle the duties."
 minister_of_shen_court_position:0 "Minister of Shen"
 minister_of_shen_court_position_desc:0 "The Minister of Shen is every bit the ambassador the Hidden Minister is when dealing with shen, even though the August Court officially treats him as an aide to the region’s Hidden Minister."
 minister_of_war_court_position:0 "Minister of War"
